ID,Phase,Pixel count,Area,Perimeter,Equivalent circle diameter,Maximum Feret diameter,Centroid X,Centroid Y,Major diameter of fitted ellipse,Minor diameter of fitted ellipse,Aspect ratio of fitted ellipse,Mean band contrast,Mean band slope,Mean MAD,Mean Euler orientation 1,Mean Euler orientation 2,Mean Euler orientation 3
,,pix,µm²,µm,µm,µm,µm,µm,µm,µm,,0..255,0..255,°,°,°,°
238,Iron bcc (old),55,3.44,9.85,2.09,3.34,23.97,57.31,2.43,1.8,1.34,105.65,180.04,0.21,193.37,16.65,35.49
239,Iron bcc (old),39,2.44,5.8,1.76,2.24,55.5,56.65,2.13,1.45,1.47,103.67,141.51,0.37,91.1,44.12,38.72
246,Iron bcc (old),15,0.94,3.71,1.09,1.58,74.08,56.77,1.53,0.78,1.96,112.87,195.73,0.21,179.54,17.47,27.23
248,Iron bcc (old),11,0.69,3.77,0.94,1.8,106.64,57.23,1.79,0.49,3.67,111.55,161.55,0.24,284.66,41.32,61.99
264,Iron bcc (old),3578,223.62,77.64,16.87,30.31,62.11,72.26,24.78,11.49,2.16,116.96,200.65,0.2,98.33,42.41,27.48
274,Iron bcc (old),114,7.13,16.6,3.01,4.53,27.07,60.22,3.27,2.77,1.18,106.77,198.32,0.19,189.91,16.68,38.28
281,Iron bcc (old),107,6.69,10.66,2.92,4.7,57.57,60.41,4.29,1.98,2.16,115.38,203.36,0.22,18.85,22.43,36.48
283,Iron bcc (old),61,3.81,7.36,2.2,2.7,123.08,59.13,2.41,2.01,1.2,120.02,215.33,0.19,74.49,22.44,43.55
297,Iron bcc (old),712,44.5,28.4,7.53,10.26,104.92,63.65,8.93,6.35,1.41,111.42,208.62,0.19,152.61,47.35,44.86
324,Iron bcc (old),880,55,39.95,8.37,14.71,73.82,68.81,12.06,5.81,2.08,121.9,225.98,0.19,283.11,17.82,42.77
329,Iron bcc (old),12,0.75,3.38,0.98,2.14,81.9,60.81,2.15,0.44,4.82,96.75,157,0.27,208.12,43.88,58.51
332,Iron bcc (old),488,30.5,23.49,6.23,7.83,25.61,64.34,7.01,5.54,1.27,115.91,205.97,0.15,344.95,45.48,76.22
340,Iron bcc (old),35,2.19,8.37,1.67,2.57,29.7,62.14,2,1.39,1.44,109.09,207,0.16,188.23,17.26,39.67
350,Iron bcc (old),20,1.25,4.52,1.26,2.06,123.79,62.45,2.02,0.79,2.56,122.1,208.1,0.16,255.32,48.65,44.25
360,Iron bcc (old),2235,139.69,59.48,13.34,22.37,33.79,69.61,19.4,9.17,2.12,123.44,222.77,0.2,149.71,36.97,34.7
369,Iron bcc (old),13,0.81,3.24,1.02,1.41,17.38,63.1,1.24,0.83,1.5,111.38,187.31,0.2,334.17,14.14,40.65
384,Iron bcc (old),374,23.38,30.1,5.46,10.8,16.33,69.01,8.78,3.39,2.59,117.15,192.46,0.19,156.34,41.24,24.25
425,Iron bcc (old),99,6.19,9.99,2.81,3.95,72.71,66.69,3.33,2.37,1.41,112.64,201.78,0.19,150.25,30.02,51.13
442,Iron bcc (old),100,6.25,10.46,2.82,4.51,102.1,68.55,3.73,2.13,1.75,119.7,210.02,0.19,274.85,36.11,42.13
443,Iron bcc (old),74,4.62,8.37,2.43,3.55,23.15,68.68,3.23,1.82,1.77,112.74,207.45,0.16,145.71,45.33,13.09
445,Iron bcc (old),1757,109.81,47.54,11.82,17.83,50.88,76.73,18.41,7.6,2.42,123.13,219.06,0.18,296.55,31.86,16.04
447,Iron bcc (old),1840,115,53.79,12.1,18.23,99.17,75.5,14.22,10.29,1.38,125.49,219.94,0.15,277.93,25.79,39.73
449,Iron bcc (old),1302,81.38,49.83,10.18,19.95,17.85,79.06,16.38,6.33,2.59,128.19,218.89,0.19,332.98,46.97,21.13
450,Iron bcc (old),2534,158.38,55.46,14.2,21.04,117.07,78.04,18.62,10.83,1.72,115.85,213.35,0.19,116.6,45.12,62.82
457,Iron bcc (old),128,8,13.03,3.19,6.91,14.01,72.75,5.82,1.75,3.32,123.62,209.2,0.19,331.96,44.13,18.29
459,Iron bcc (old),27,1.69,4.66,1.47,1.8,123.44,71.61,1.64,1.31,1.26,106.22,160.26,0.18,239.23,35.41,63.14
462,Iron bcc (old),138,8.62,10.94,3.31,4.72,22.26,74.73,4.41,2.49,1.77,114.17,212.11,0.21,148.63,36.41,37.38
463,Iron bcc (old),446,27.88,24.64,5.96,9.96,74.88,77.74,9.54,3.72,2.56,121.93,212.13,0.16,256.11,30.36,60.7
464,Iron bcc (old),230,14.38,19.36,4.28,8.28,77.52,76.95,7.85,2.33,3.37,113.14,205.83,0.17,149.05,30.24,52.19
467,Iron bcc (old),488,30.5,26.34,6.23,11.52,78.3,81.08,10.94,3.55,3.08,106.86,214.81,0.16,304.34,51.39,41.64
469,Iron bcc (old),383,23.94,23.29,5.52,9.39,56.46,80.35,7.76,3.93,1.98,112.44,202.36,0.18,313.94,15.11,60.04
470,Iron bcc (old),971,60.69,29.93,8.79,10.45,62.47,81.69,10.06,7.68,1.31,127.87,241.06,0.16,262.14,26.02,57.02
472,Iron bcc (old),364,22.75,19.58,5.38,7.16,121.81,82.22,6.85,4.23,1.62,126.34,217.04,0.18,310.59,33.45,11.81
475,Iron bcc (old),271,16.94,16.6,4.64,5.85,69.26,83.1,5.29,4.08,1.3,114.66,204.8,0.19,316.23,14.63,58.45
476,Iron bcc (old),124,7.75,11.27,3.14,4.03,73.6,83.35,3.45,2.86,1.21,119.02,217.31,0.14,282.42,18.04,37.41
477,Iron bcc (old),201,12.56,13.98,4,5.2,99.32,83.72,4.89,3.27,1.49,122.05,231.13,0.16,267.7,28.8,48.43
480,Iron bcc (old),70,4.38,8.17,2.36,3.09,55.78,84.34,3,1.85,1.62,120.47,218.54,0.17,90.83,34.25,68.79
482,Iron bcc (old),28,1.75,5.47,1.49,2.06,71.88,84.64,1.88,1.19,1.58,123.07,221.21,0.17,266.23,31.49,55.02
483,Iron bcc (old),20,1.25,4.52,1.26,2.02,102.59,84.72,1.82,0.87,2.09,108.7,175.25,0.22,292.26,36.74,64.63
485,Iron bcc (old),15,0.94,5.13,1.09,2.3,67.55,84.88,2.24,0.53,4.2,97.87,179,0.16,58.21,36.7,50.16
486,Iron bcc (old),32,2,7.5,1.6,3.51,95.75,84.8,3.37,0.76,4.46,105.97,168.47,0.3,143.46,42.22,77.48
487,Iron bcc (old),16,1,4.8,1.13,2.3,53.36,84.89,2.51,0.51,4.95,111.25,176.69,0.24,329.71,13.27,38.55
